Goal,series_description,country,year,value,source,nature,age,location,sex
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,6.18042,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,21.31958,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,3.54167,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,18.54167,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,RURAL,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,6.25,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,RURAL,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,18.75,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,3.125,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,ALLAREA,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,17.08333,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,ALLAREA,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,16.38875,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,URBAN,FEMALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,2.56958,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,5.97208,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,URBAN,MALE
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,15.83333,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,URBAN,FEMALE
