,series_description,country,year,value,source,nature,age,location,sex
0,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,89,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,ALLAREA,0
1,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,307,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,RURAL,1
2,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,51,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,RURAL,0
3,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,267,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,RURAL,1
4,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,90,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,RURAL,0
5,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,270,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,ALLAREA,1
6,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,45,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,ALLAREA,0
7,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,246,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,ALLAREA,1
8,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,236,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,URBAN,1
9,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,37,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,10+,URBAN,0
10,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,86,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,URBAN,0
11,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Albania,2011,228,Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,CA,65+,URBAN,1
12,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,282,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,ALLAREA,1
13,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,42,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,ALLAREA,0
14,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,360,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
15,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,42,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
16,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,300,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,RURAL,1
17,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,48,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,URBAN,0
18,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,42,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,RURAL,0
19,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Algeria,2012,270,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,CA,12+,URBAN,1
20,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Argentina,2013,198,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,1
21,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Argentina,2013,77,"Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.",CA,15+,ALLAREA,0
22,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Australia,2006,230,Australian Bureau of Statistics based on 2006 Time Use Survey,C,15+,ALLAREA,1
23,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Australia,2006,135,Australian Bureau of Statistics based on 2006 Time Use Survey,C,15+,ALLAREA,0
24,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,222,Statistics Austria based on Time Use Survey 2008/09,C,10+,ALLAREA,1
25,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,118,Statistics Austria based on Time Use Survey 2008/09,C,10+,ALLAREA,0
26,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,96,Statistics Austria based on Time Use Survey 2008/09,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
27,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,54,Statistics Austria based on Time Use Survey 2008/09,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
28,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,231,Statistics Austria based on Time Use Survey 2008/09,C,15+,ALLAREA,1
29,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,124,Statistics Austria based on Time Use Survey 2008/09,C,15+,ALLAREA,0
30,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,210,Statistics Austria based on Time Use Survey 2008/09,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
31,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,148,Statistics Austria based on Time Use Survey 2008/09,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
32,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,46,Statistics Austria based on Time Use Survey 2008/09,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
33,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,208,Statistics Austria based on Time Use Survey 2008/09,C,15+,URBAN,1
34,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,114,Statistics Austria based on Time Use Survey 2008/09,C,15+,URBAN,0
35,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,168,Statistics Austria based on Time Use Survey 2008/09,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
36,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,191,Statistics Austria based on Time Use Survey 2008/09,C,65+,URBAN,0
37,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,287,Statistics Austria based on Time Use Survey 2008/09,C,65+,URBAN,1
38,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,185,Statistics Austria based on Time Use Survey 2008/09,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
39,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,100,Statistics Austria based on Time Use Survey 2008/09,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
40,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,59,Statistics Austria based on Time Use Survey 2008/09,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
41,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,244,Statistics Austria based on Time Use Survey 2008/09,C,15+,RURAL,1
42,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,129,Statistics Austria based on Time Use Survey 2008/09,C,15+,RURAL,0
43,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,226,Statistics Austria based on Time Use Survey 2008/09,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
44,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,100,Statistics Austria based on Time Use Survey 2008/09,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
45,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Austria,2009,259,Statistics Austria based on Time Use Survey 2008/09,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
